No.,勘定科目名,決算書名,大分類,中分類,小分類
94,投資有価証券売却損（外）,投資有価証券売却損,損益,営業外費用,
95,為替差損,為替差損,損益,営業外費用,
96,繰延資産償却（外）,繰延資産償却,損益,営業外費用,
97,創立費償却（外）,繰延資産償却,損益,営業外費用,
98,開業費償却（外）,繰延資産償却,損益,営業外費用,
99,株式交付費償却（外）,繰延資産償却,損益,営業外費用,
100,社債発行費償却（外）,繰延資産償却,損益,営業外費用,
101,開発費償却（外）,繰延資産償却,損益,営業外費用,
102,長期前払費用償却（外）,長期前払費用償却,損益,営業外費用,
103,貸倒引当金繰入額（外）,貸倒引当金繰入額,損益,営業外費用,
104,前期損益修正益,前期損益修正益,損益,特別利益,
105,固定資産売却益,固定資産売却益,損益,特別利益,
106,投資有価証券売却益,投資有価証券売却益,損益,特別利益,
107,受取保険金,受取保険金,損益,特別利益,
108,受贈益,受贈益,損益,特別利益,
109,債務免除益,債務免除益,損益,特別利益,
110,国庫補助金収入,国庫補助金収入,損益,特別利益,
111,償却済債権取立益,償却済債権取立益,損益,特別利益,
112,前期損益修正損,前期損益修正損,損益,特別損失,
113,固定資産売却損,固定資産売却損,損益,特別損失,
114,投資有価証券売却損,投資有価証券売却損,損益,特別損失,
115,役員退職金,役員退職金,損益,特別損失,特別損失
116,棚卸減耗損（特）,棚卸減耗損,損益,特別損失,
117,棚卸資産評価損（特）,棚卸資産評価損,損益,特別損失,
118,固定資産除却損,固定資産除却損,損益,特別損失,
119,固定資産圧縮損,固定資産圧縮損,損益,特別損失,
120,繰延資産償却（特）,繰延資産償却,損益,特別損失,
121,創立費償却（特）,繰延資産償却,損益,特別損失,
122,開業費償却（特）,繰延資産償却,損益,特別損失,
123,株式交付費償却（特）,繰延資産償却,損益,特別損失,
124,社債発行費償却（特）,繰延資産償却,損益,特別損失,
125,開発費償却（特）,繰延資産償却,損益,特別損失,
126,長期前払費用償却（特）,長期前払費用償却,損益,特別損失,
127,貸倒損失（特）,貸倒損失,損益,特別損失,
128,貸倒引当金繰入額（特）,貸倒引当金繰入額,損益,特別損失,
129,法人税等,法人税等,損益,法人税等,
130,法人税、住民税及び事業税,法人税、住民税及び事業税,損益,法人税等,
131,法人税等調整額,法人税等調整額,損益,法人税等調整額,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
