display_label,statement_name
売上高,売上高
上記のうち兼業売上高,兼業事業売上高
売上原価,売上原価
期首棚卸高,期首商品棚卸高
期首棚卸高,期首製品棚卸高
原材料費,当期製品製造原価
労務費,
外注費,業務委託料
期末棚卸高,期末商品棚卸高
期末棚卸高,期末製品棚卸高
減価償却費,減価償却費
地代家賃,地代家賃
売上総利益,
役員報酬,役員報酬
従業員給与,給料賃金
従業員給与,賞与
交際費,交際費
減価償却費(販管費),減価償却費
地代家賃(販管費),地代家賃
営業損益,
特別利益,
特別損失,
税引前当期損益,
